date,symbol,ma_score
2026-08-04,ACVA,58.0063695644393
2026-08-04,BILL,55.81574410585378
2026-08-04,KMX,41.34659150841128
2026-08-04,MAN,36.64254337605274
2026-08-05,CLMT,66.79828304809672
2026-08-05,VSXY,42.19633511686109
2026-08-05,WEX,44.65724410764125
2026-08-06,CRAI,50.48824345948997
2026-08-06,IP,42.986841073219765
2026-08-06,NP,51.29428681557161
2026-08-06,THRM,48.58382510301496
2026-08-06,TWFG,55.45177980484269
2026-08-07,BOW,68.24466005969424
2026-08-07,IP,48.94093193520165
2026-08-07,MA,47.13376832206556
2026-08-07,ONTO,50.13035748225775
2026-08-07,SCCO,41.57140181376623
2026-08-07,THRM,53.00712574137323
2026-08-08,CRDO,70.61093377920304
2026-08-08,IP,47.95153518355398
2026-08-08,MA,43.99682989371432
2026-08-08,ONTO,46.85317027473224
2026-08-08,SCCO,40.89354618660646
2026-08-08,THRM,51.58441771214453
2026-08-11,ALGT,44.20556266195985
2026-08-11,CRDO,73.3826013664059
2026-08-11,IP,48.0767679003045
2026-08-11,MA,41.86776391393129
2026-08-11,ONTO,43.46475287371188
2026-08-11,SCCO,39.49645033309543
2026-08-11,THRM,51.50155487993264
2026-08-12,ALGT,45.47588527873326
2026-08-12,APP,74.71817443250933
2026-08-12,CRDO,75.38202181165749
2026-08-12,IP,48.20901866958709
2026-08-12,MA,40.86203396147654
2026-08-12,ONTO,44.65000305557437
2026-08-12,SCCO,37.44030258071614
2026-08-12,THRM,51.0237031098654
2026-08-13,ALGT,45.84919111318953
2026-08-13,APP,74.07751093076495
2026-08-13,CRDO,73.51465209514637
2026-08-13,IP,48.55465016786747
2026-08-13,MA,40.7928764694882
2026-08-13,ONTO,44.7042855505038
2026-08-13,SCCO,37.73295329990932
2026-08-13,THRM,50.94621218083431
2026-08-14,ALGT,46.72178496075846
2026-08-14,APP,73.87873538596798
2026-08-14,CRDO,71.50866124552666
2026-08-14,IP,48.07777673931927
2026-08-14,MA,40.70909875144675
2026-08-14,ONTO,43.91710614974155
2026-08-14,SCCO,37.57329205756013
2026-08-14,TAL,61.39527617207675
2026-08-14,THRM,50.7246390193932
2026-08-15,ALGT,46.34657740574885
2026-08-15,APP,69.59393308072514
2026-08-15,CRDO,70.55717550051998
2026-08-15,IP,46.65652957122308
2026-08-15,MA,39.35476851250783
2026-08-15,ONTO,43.10359740990673
2026-08-15,SCCO,36.96976249374307
2026-08-15,TAL,61.29395039253918
2026-08-15,THRM,50.07448438986541
2026-08-18,ARHS,39.49343828490567
2026-08-18,CRDO,64.40596076184065
2026-08-18,HNST,57.77262376560899
2026-08-18,IP,42.97596321859561
2026-08-18,MA,37.16209818485801
2026-08-18,ONTO,42.0297302632083
2026-08-18,RIGL,46.08056323837357
2026-08-18,SCCO,35.19319713326048
2026-08-18,TAL,61.03286427168492
2026-08-18,THRM,48.85876158274655
2026-08-19,ARHS,39.18900541595401
2026-08-19,CRDO,62.03381118496511
2026-08-19,EXK,65.89058259309165
2026-08-19,HBM,46.47192998474336
2026-08-19,IP,42.75020570797352
2026-08-19,KRO,54.40999179173135
2026-08-19,MA,37.03458570150996
2026-08-19,ONTO,41.84981788977684
2026-08-19,PGEN,58.29035737183131
2026-08-19,RIGL,44.99178833055598
2026-08-19,SCCO,35.36957909959585
2026-08-19,TAL,60.13704156883883
2026-08-19,THRM,48.10636049618952
2026-08-20,ARHS,39.63776956987895
2026-08-20,CRDO,59.40260746379348
2026-08-20,CXW,63.42616138050563
2026-08-20,EXK,65.28760547929603
2026-08-20,HBM,45.47800294427973
2026-08-20,IP,42.00957148195159
2026-08-20,KRO,53.62189896581659
2026-08-20,MA,36.80324811793952
2026-08-20,ONTO,41.27795338511624
2026-08-20,PGEN,57.22509797508006
2026-08-20,RIGL,43.41447467790691
2026-08-20,SCCO,35.28805741376965
2026-08-20,TAL,59.52881015013943
2026-08-20,THRM,47.86926060620136
2026-08-21,ARHS,39.37626278935933
2026-08-21,CRDO,56.93324173852303
2026-08-21,DGII,77.32033183257936
2026-08-21,EXK,64.4888513697319
2026-08-21,HBM,44.45667815116598
2026-08-21,IP,41.25088038866271
2026-08-21,KRO,53.21645131574966
2026-08-21,MA,36.58431805029722
2026-08-21,ONTO,40.57760822103107
2026-08-21,PGEN,56.42366707814906
2026-08-21,RIGL,42.08502142933195
2026-08-21,SCCO,34.83983866548163
2026-08-21,SN,48.6724464092097
2026-08-21,TAL,58.8465669876372
2026-08-21,THRM,47.6870535887464
2026-08-22,ARHS,38.15444439260902
2026-08-22,CRDO,53.59971917532414
2026-08-22,DGII,75.73980334122149
2026-08-22,EXK,63.41329174401365
2026-08-22,HBM,42.7242529785176
2026-08-22,IP,40.2517902164495
2026-08-22,KRO,52.68296043853171
2026-08-22,MA,35.80035926383477
2026-08-22,ONTO,39.51375301748626
2026-08-22,PGEN,55.33839663292467
2026-08-22,RIGL,40.52342289537347
2026-08-22,SN,47.42843628999316
2026-08-22,TAL,57.72893069042419
2026-08-22,THRM,46.98185871773608
2026-08-25,ACLS,42.42782314257585
2026-08-25,ARHS,37.80170748404557
2026-08-25,CRDO,50.36178512641042
2026-08-25,DGII,72.2814467872699
2026-08-25,EXK,62.92263577088934
2026-08-25,HBM,42.00503885536832
2026-08-25,IP,39.38099404175309
2026-08-25,KRO,52.00264442041697
2026-08-25,MA,35.17220483258769
2026-08-25,ONTO,38.88904340522603
2026-08-25,PGEN,54.65771931277313
2026-08-25,SN,46.44240548900265
2026-08-25,TAL,57.22803630237842
2026-08-25,THRM,46.39023663587835
2026-08-26,ACLS,42.83965702028253
2026-08-26,ARHS,37.13715165331261
2026-08-26,CRDO,48.97532048543709
2026-08-26,DGII,70.14546272290064
2026-08-26,EXK,61.81083149409775
2026-08-26,HBM,41.38015788373096
2026-08-26,IP,38.8728425467722
2026-08-26,KRO,50.90638343518864
2026-08-26,MA,34.55747595471232
2026-08-26,ONTO,37.99720555317029
2026-08-26,PGEN,53.97623920319418
2026-08-26,SN,45.5641018446554
2026-08-26,TAL,56.05385338613289
2026-08-26,THRM,45.67955355416175
2026-08-27,ACLS,42.41356308206694
2026-08-27,ARHS,36.93025208643694
2026-08-27,CRDO,48.06856296527613
2026-08-27,DGII,67.46767542880442
2026-08-27,EXK,59.70936764383473
2026-08-27,HBM,40.32437704274345
2026-08-27,IP,38.45254680168919
2026-08-27,KRO,49.99355771754414
2026-08-27,MA,34.21224525383448
2026-08-27,OBE,64.35287031704755
2026-08-27,ONTO,37.3875668227834
2026-08-27,PGEN,52.66481510637118
2026-08-27,SN,44.73171447812675
2026-08-27,TAL,54.64082646813714
2026-08-27,THRM,44.95477040236424
2026-08-28,ACLS,42.46586077596901
2026-08-28,ARHS,36.42550453022999
2026-08-28,CRDO,46.75111505592155
2026-08-28,DGII,64.97061423598925
2026-08-28,EXK,58.24110626887226
2026-08-28,HBM,39.27367606641906
2026-08-28,IP,37.66274313839269
2026-08-28,KRO,49.10081206369523
2026-08-28,MA,33.76311958342726
2026-08-28,ONTO,36.53843500139457
2026-08-28,PGEN,50.76359706535243
2026-08-28,SN,43.77739962590194
2026-08-28,TAL,53.71199255635389
2026-08-28,THRM,44.01935068195966
2026-08-29,ACLS,42.22007431505971
2026-08-29,ARHS,35.81581432649616
2026-08-29,CRDO,45.80337433699121
2026-08-29,DGII,62.40445199981707
2026-08-29,EXK,56.25231627652882
2026-08-29,HBM,38.4253268862317
2026-08-29,IP,37.00238737822044
2026-08-29,KRO,48.24864675481455
2026-08-29,MA,33.12804669041121
2026-08-29,ONTO,35.74196527321749
2026-08-29,PGEN,49.48304797288714
2026-08-29,SN,42.91794631486705
2026-08-29,TAL,52.70825428503496
2026-08-29,THRM,43.1834034131788
2026-09-01,ACLS,41.73451846124844
2026-09-01,ARHS,35.36155645078345
2026-09-01,AVAH,45.15762612788369
2026-09-01,CRDO,44.9481138447336
2026-09-01,DGII,60.04192096059552
2026-09-01,EXK,54.67300761618564
2026-09-01,HBM,37.78439146788846
2026-09-01,IP,36.40209606183904
2026-09-01,KRO,47.33299158441278
2026-09-01,MA,32.72472991159408
2026-09-01,ONTO,35.17048542366145
2026-09-01,PGEN,47.97466029047021
2026-09-01,SGMT,46.48776807911461
2026-09-01,SN,42.16272413628975
2026-09-01,TAL,51.72886560804766
2026-09-01,THRM,42.36346749901077
2026-09-02,ACLS,41.18871425853551
2026-09-02,ARHS,34.96618650687718
2026-09-02,AVAH,44.63107527272028
2026-09-02,CRDO,44.35434932198975
2026-09-02,DGII,57.98872363159698
2026-09-02,EXK,53.27253178642766
2026-09-02,HBM,37.20550928697499
2026-09-02,HOOD,54.36280953667244
2026-09-02,IP,35.94669759613257
2026-09-02,KRO,46.59279518523249
2026-09-02,MA,32.39253561070713
2026-09-02,NMAX,48.68813898833106
2026-09-02,ONTO,34.73716012685619
2026-09-02,PGEN,46.85735605129688
2026-09-02,SN,41.54377499915072
2026-09-02,TAL,50.69870217109299
2026-09-02,THRM,41.77411770696286
2026-09-02,VSTM,47.06161379793048
2026-09-03,ACLS,40.75608351276646
2026-09-03,ARHS,34.66514689317514
2026-09-03,AVAH,44.0489573163682
2026-09-03,CRDO,43.88036361090312
2026-09-03,DGII,55.81680419260196
2026-09-03,EXK,51.8553354028701
2026-09-03,HBM,36.64452158825215
2026-09-03,HOOD,52.94189500204435
2026-09-03,IP,35.44301537062331
2026-09-03,KRO,45.84415972340357
2026-09-03,MA,32.12934404909391
2026-09-03,NMAX,47.88073773830108
2026-09-03,ONTO,34.29993297842639
2026-09-03,PGEN,45.85988533633645
2026-09-03,SN,40.81644413486262
2026-09-03,TAL,49.83170453889558
2026-09-03,THRM,41.30684328753197
2026-09-03,VSTM,46.3301220312967
2026-09-04,ACLS,40.44836529268967
2026-09-04,ARHS,34.44976461529779
2026-09-04,AVAH,43.37212593781829
2026-09-04,CRDO,43.47580267466014
2026-09-04,DGII,53.69508329659537
2026-09-04,EXK,50.47934679599453
2026-09-04,HBM,36.17186582111676
2026-09-04,HOOD,51.55050101731908
2026-09-04,IP,34.8861816519046
2026-09-04,KRO,45.01675481127356
2026-09-04,LIFE,52.64536105874875
2026-09-04,MA,31.86954591678126
2026-09-04,NMAX,47.29018646941898
2026-09-04,ONTO,33.93407322213142
2026-09-04,PGEN,44.93312251913723
2026-09-04,SN,40.25674913404102
2026-09-04,TAL,49.0129100449868
2026-09-04,THRM,40.82384176273885
2026-09-04,VSTM,45.75938314975082
