symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
SANA,3.89,6.33,59.4,12.0,-1.0,9.4,yes
BBNX,19.41,6.56,62.9,10.9,-0.2,18.2,yes
KRO,8.74,6.65,58.9,13.3,1.3,4.1,yes
CSHR,5.6,6.66,79.5,19.9,-4.0,1.1,n/a
NVCT,23.92,6.66,177.4,13.8,-0.5,4.5,yes
LSE,5.59,6.66,58.5,14.5,2.9,0.0,yes
TWST,131.0,6.84,134.0,18.7,-7.8,223.8,yes
ACFN,19.53,6.96,40.5,17.7,-1.7,1.1,yes
UFI,7.29,6.97,115.0,11.9,-3.3,1.3,yes
NGNE,38.36,6.99,68.6,16.1,0.3,8.2,yes
CNSP,6.01,7.02,58.6,12.1,3.7,0.0,yes
TMCI,4.7,7.04,48.0,15.2,2.3,1.8,yes
TXG,61.65,7.05,139.0,12.3,-2.5,189.1,yes
MRVI,7.38,7.08,94.2,22.8,-9.6,36.6,yes
ACOG,9.31,7.13,74.5,12.2,-1.8,1.5,yes
IMMX,13.96,7.21,93.6,16.0,0.3,19.8,yes
INFQ,12.65,7.24,66.1,18.8,-4.6,121.3,n/a
EDIT,3.08,7.37,49.6,16.9,-1.2,8.2,yes
GRAL,80.56,7.4,49.7,13.7,0.9,58.0,yes
