symbol,price,adr,runup,base_depth,ext10,dvolM,trend200
HPE,52.89,5.74,73.5,20.2,-5.4,876.6,yes
GDRX,3.56,5.75,56.9,11.2,-2.9,6.4,yes
DRTS,14.33,5.75,68.6,11.2,1.7,6.5,yes
P,109.98,5.81,83.8,27.4,-0.0,298.5,yes
ZETA,27.85,5.85,68.2,16.4,-2.0,246.9,yes
GCT,49.86,5.89,81.0,11.4,-3.1,34.1,yes
ALNT,99.48,5.9,66.8,18.1,-9.4,27.4,yes
PMTS,27.51,5.97,93.6,21.1,-3.7,2.8,yes
NEWP,6.85,6.01,93.1,14.9,3.6,3.3,yes
MNTN,12.67,6.06,72.5,18.0,4.5,13.4,yes
DSP,12.41,6.07,45.5,17.5,-4.2,4.0,yes
JRSH,5.51,6.07,76.9,19.7,3.1,0.5,yes
FLNT,4.11,6.2,126.8,17.8,-0.8,0.1,yes
CNL,15.21,6.2,44.4,17.0,3.8,0.9,yes
MBX,66.35,6.21,150.0,7.1,-1.3,31.8,yes
DFTX,45.4,6.22,129.1,18.3,2.2,98.7,yes
PARR,72.45,6.36,71.1,22.4,-5.4,84.8,yes
ANIK,21.39,6.43,66.2,12.2,0.1,2.3,yes
FENC,11.32,6.46,55.6,18.8,-3.9,2.0,yes
FIVN,32.3,6.48,90.5,21.1,-1.7,106.9,yes
TUSK,3.23,6.49,42.6,15.3,-0.6,0.8,yes
QTTB,15.86,6.65,85.3,11.4,2.0,6.9,yes
UEIC,4.78,6.72,58.5,21.9,-8.0,0.5,yes
AERT,6.75,6.72,81.7,10.5,-3.1,0.1,yes
ACVA,7.67,6.74,50.8,20.2,0.4,36.2,yes
SEPN,40.79,6.8,88.7,25.5,-6.4,18.3,yes
KRO,8.13,6.83,54.2,12.9,-1.7,3.6,yes
ALTI,4.02,6.83,68.0,13.5,-2.1,0.9,yes
BXC,82.93,6.85,92.4,12.3,-5.1,13.8,yes
IRWD,4.14,6.89,43.2,12.2,-2.7,9.4,yes
AMWL,11.82,6.98,75.5,17.6,-6.8,1.4,yes
FRD,42.54,7.03,114.4,17.4,-4.7,3.9,yes
DELL,434.78,7.05,72.2,19.0,-6.4,2585.5,yes
TLSI,5.23,7.07,93.8,20.9,-4.8,1.0,yes
BDL,47.06,7.09,65.7,18.2,2.4,1.8,yes
CRSR,10.91,7.13,86.1,27.8,-13.9,28.2,yes
MU,974.33,7.18,40.4,18.5,4.7,35369.4,yes
HPK,8.31,7.22,43.5,25.8,6.9,3.8,yes
HQI,17.04,7.43,60.2,33.7,5.3,0.4,yes
ZIP,5.17,7.45,84.3,16.6,4.6,3.9,yes
